Seasonality*,Series,Ownership,Measure,Labstat_code
SA,All workers,Civilian,Total compensation,CIS1010000000000I
SA,All workers,Civilian,Total compensation,CIS1010000000000Q
SA,Manufacturing,Civilian,Total compensation,CIS1013000000000I
SA,Manufacturing,Civilian,Total compensation,CIS1013000000000Q
SA,Education and health services,Civilian,Total compensation,CIS1016000000000I
SA,Education and health services,Civilian,Total compensation,CIS1016000000000Q
SA,Education services,Civilian,Total compensation,CIS1016100000000I
SA,Education services,Civilian,Total compensation,CIS1016100000000Q
SA,Elementary and secondary schools,Civilian,Total compensation,CIS1016110000000I
SA,Elementary and secondary schools,Civilian,Total compensation,CIS1016110000000Q
SA,"Junior colleges, colleges, and universities",Civilian,Total compensation,CIS1016120000000I
SA,"Junior colleges, colleges, and universities",Civilian,Total compensation,CIS1016120000000Q
SA,Health care and social assistance,Civilian,Total compensation,CIS1016200000000I
SA,Health care and social assistance,Civilian,Total compensation,CIS1016200000000Q
SA,Hospitals,Civilian,Total compensation,CIS1016220000000I
SA,Hospitals,Civilian,Total compensation,CIS1016220000000Q
SA,Nursing and residential care facilities,Civilian,Total compensation,CIS1016230000000I
SA,Nursing and residential care facilities,Civilian,Total compensation,CIS1016230000000Q
SA,Public administration,Civilian,Total compensation,CIS1019200000000I
SA,Public administration,Civilian,Total compensation,CIS1019200000000Q
SA,Service-providing industries,Civilian,Total compensation,CIS101S000000000I
SA,Service-providing industries,Civilian,Total compensation,CIS101S000000000Q
SA,All workers,Civilian,Wages and salaries,CIS1020000000000I
SA,All workers,Civilian,Wages and salaries,CIS1020000000000Q
SA,Education services,Civilian,Wages and salaries,CIS1026100000000I
SA,Education services,Civilian,Wages and salaries,CIS1026100000000Q
SA,Elementary and secondary schools,Civilian,Wages and salaries,CIS1026110000000I
SA,Elementary and secondary schools,Civilian,Wages and salaries,CIS1026110000000Q
SA,Health care and social assistance,Civilian,Wages and salaries,CIS1026200000000I
SA,Health care and social assistance,Civilian,Wages and salaries,CIS1026200000000Q
SA,Hospitals,Civilian,Wages and salaries,CIS1026220000000I
SA,Hospitals,Civilian,Wages and salaries,CIS1026220000000Q
SA,Nursing and residential care facilities,Civilian,Wages and salaries,CIS1026230000000I
SA,Nursing and residential care facilities,Civilian,Wages and salaries,CIS1026230000000Q
SA,Public administration,Civilian,Wages and salaries,CIS1029200000000I
SA,Public administration,Civilian,Wages and salaries,CIS1029200000000Q
